2019-05-20 11:10:20.158 INFO  DefaultFactory Logging to 'C:\Users\karyn\OneDrive\Рабочий стол\RetailDemo\Billing\bin\Debug\' with level Info
2019-05-20 11:28:45.617 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:45.648 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:45.695 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:45.726 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:45.757 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:45.789 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:45.820 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:45.851 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:45.914 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:45.961 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.007 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.039 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.070 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.117 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.164 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.195 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.226 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.257 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.289 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.320 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.351 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.382 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.414 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
